schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
cosine_bump,obj_0114,0.238126,13.3166,0.026764,0.189941,0.462891,0.008281,0.021737,0.216553
cosine_bump,obj_0115,0.338101,15.9630,0.015617,0.199097,0.366943,0.004374,0.015313,0.178495
cosine_bump,obj_0116,0.375211,15.4473,0.010429,0.232056,0.265869,0.005830,0.020831,0.214125
cosine_bump,obj_0117,0.499801,18.9447,0.004265,0.187256,0.226074,0.003376,0.024380,0.135896
cosine_bump,obj_0118,0.524653,24.4347,0.001614,0.164062,0.149536,0.004609,0.021686,0.164218
cosine_bump,obj_0119,0.520523,19.9821,0.003275,0.178223,0.179688,0.005647,0.024797,0.176451
cosine_bump,obj_0120,0.432228,23.2430,0.002398,0.160400,0.200073,0.007336,0.013260,0.240663
cosine_bump,obj_0121,0.283127,16.1611,0.010735,0.218384,0.305664,0.021232,0.011593,0.388086
cosine_bump,obj_0122,0.436176,17.3692,0.005756,0.186768,0.268066,0.003909,0.036896,0.146436
cosine_bump,obj_0123,0.259402,13.2383,0.009514,0.223633,0.262207,0.011396,0.043393,0.268353
cosine_bump,obj_0124,0.453439,14.9065,0.003511,0.193237,0.202759,0.005900,0.095462,0.196615
cosine_bump,obj_0125,0.202337,22.6499,0.009430,0.136353,0.332031,0.045286,0.070778,0.719164
cosine_bump,obj_0126,0.397406,15.1647,0.008965,0.217529,0.239502,0.005627,0.024661,0.204700
cosine_bump,obj_0127,0.375009,18.5807,0.005730,0.162598,0.211426,0.007258,0.020696,0.317310
cosine_bump,obj_0128,0.435553,17.4964,0.006138,0.179199,0.236938,0.005705,0.036475,0.205700
cosine_bump,obj_0129,0.409160,20.3285,0.002317,0.189819,0.181885,0.014280,0.027504,0.340916
cosine_bump,obj_0130,0.483833,18.0245,0.005268,0.212524,0.206543,0.003568,0.018495,0.142014
cosine_bump,obj_0131,0.120043,25.4814,0.006939,0.171875,0.246582,0.102590,0.022258,1.386093
cosine_bump,obj_0132,0.410656,15.5142,0.005859,0.200073,0.231689,0.005522,0.031230,0.219333
cosine_bump,obj_0133,0.267292,17.8412,0.007782,0.164062,0.327393,0.012725,0.115692,0.311991
cosine_bump,obj_0134,0.353415,16.1009,0.005238,0.226562,0.237549,0.007754,0.040996,0.273276
cosine_bump,obj_0135,0.462882,17.5258,0.007435,0.176270,0.252197,0.004873,0.033838,0.221073
cosine_bump,obj_0136,0.414904,17.1478,0.004791,0.210571,0.224854,0.006628,0.035459,0.265765
cosine_bump,obj_0137,0.367181,16.3904,0.006924,0.207642,0.205688,0.005306,0.099699,0.227275
cosine_bump,obj_0138,0.490781,17.4984,0.002644,0.185059,0.191772,0.003877,0.016173,0.166296
cosine_bump,obj_0139,0.375322,14.4462,0.012764,0.218506,0.312012,0.002946,0.015997,0.154297
cosine_bump,obj_0140,0.417680,18.9978,0.004574,0.182495,0.235962,0.010631,0.036963,0.263094
cosine_bump,obj_0141,0.444415,18.5064,0.002710,0.174438,0.205566,0.005606,0.012019,0.206518
cosine_bump,obj_0142,0.493002,17.1174,0.003181,0.176147,0.204346,0.003497,0.023137,0.132866
cosine_bump,obj_0143,0.413738,21.3561,0.003975,0.203369,0.240967,0.008322,0.044493,0.233271
cosine_bump,obj_0144,0.370103,17.6410,0.004971,0.230835,0.181152,0.013157,0.045457,0.323749
cosine_bump,obj_0145,0.336727,19.1915,0.002691,0.171265,0.178345,0.020474,0.020154,0.454542
cosine_bump,obj_0146,0.317321,14.8645,0.015236,0.186279,0.386719,0.006052,0.042194,0.230227
cosine_bump,obj_0147,0.409295,17.2097,0.008614,0.214111,0.286621,0.004066,0.023372,0.195785
cosine_bump,obj_0148,0.398761,15.7999,0.013992,0.185059,0.322266,0.005674,0.082636,0.213541
cosine_bump,obj_0149,0.292186,19.4333,0.005505,0.175537,0.229614,0.025715,0.020418,0.516037
cosine_bump,obj_0150,0.315990,14.3569,0.011749,0.206909,0.330322,0.007146,0.012307,0.175853
cosine_bump,obj_0151,0.444700,16.3081,0.003645,0.188232,0.225220,0.005362,0.012725,0.196926
cosine_bump,obj_0152,0.407507,15.6010,0.010056,0.219849,0.259766,0.002851,0.011571,0.142235
cosine_bump,obj_0153,0.409754,19.8068,0.004040,0.177002,0.227783,0.006438,0.016707,0.222656
cosine_bump,obj_0154,0.485181,18.0234,0.003336,0.192749,0.178711,0.004067,0.021804,0.194360
cosine_bump,obj_0155,0.278189,14.4543,0.006496,0.180420,0.273438,0.009242,0.012923,0.323116
cosine_bump,obj_0156,0.366232,19.5076,0.004047,0.163452,0.200684,0.015401,0.068753,0.371839
cosine_bump,obj_0157,0.384309,20.6076,0.005001,0.176880,0.188232,0.012449,0.015329,0.329119
cosine_bump,obj_0158,0.377273,14.8536,0.005596,0.187378,0.252930,0.008212,0.041602,0.288646
cosine_bump,obj_0159,0.359699,18.4688,0.004490,0.201904,0.207642,0.013832,0.019535,0.338247
cosine_bump,obj_0160,0.527661,19.2605,0.003685,0.187500,0.195801,0.002790,0.004880,0.152643
cosine_bump,obj_0161,0.408505,18.5457,0.002480,0.172852,0.182373,0.013135,0.019656,0.294371
cosine_bump,obj_0162,0.412077,20.0534,0.005371,0.198853,0.296875,0.004036,0.033419,0.151788
cosine_bump,obj_0163,0.503181,17.9035,0.003824,0.192505,0.197998,0.002999,0.012810,0.161888
cosine_bump,obj_0164,0.567948,20.9456,0.001809,0.166504,0.157227,0.003953,0.006477,0.148136
cosine_bump,obj_0165,0.403037,15.0816,0.005829,0.205811,0.231201,0.006300,0.039601,0.232700
