participant,object,criterion,choice
NUM09,OBJ28,texture,s1.25
NUM09,OBJ29,texture,C3
NUM09,OBJ30,texture,s1.25
NUM09,OBJ01,shape,s1.25
NUM09,OBJ02,shape,s1.25
NUM09,OBJ03,shape,s2.50
NUM09,OBJ04,shape,s2.50
NUM09,OBJ05,shape,C3
NUM09,OBJ06,shape,s2.50
NUM09,OBJ07,shape,s2.50
NUM09,OBJ08,shape,s2.50
NUM09,OBJ09,shape,s2.50
NUM09,OBJ10,shape,C3
NUM09,OBJ11,shape,s2.50
NUM09,OBJ12,shape,s2.50
NUM09,OBJ13,shape,s2.50
NUM09,OBJ14,shape,s2.50
NUM09,OBJ15,shape,s2.50
NUM09,OBJ16,shape,C3
NUM09,OBJ17,shape,s2.50
NUM09,OBJ18,shape,s2.50
NUM09,OBJ19,shape,s2.50
