schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
linear_warmup,obj_0101,0.170008,14.2562,0.006893,0.135010,0.246582,0.035814,0.075823,0.571971
linear_warmup,obj_0102,0.189346,18.2833,0.001860,0.091492,0.127808,0.029063,0.015868,0.628078
linear_warmup,obj_0103,0.240358,13.7775,0.014603,0.152466,0.363525,0.026621,0.139617,0.417841
linear_warmup,obj_0104,0.179911,12.9994,0.010529,0.129150,0.254639,0.037244,0.048556,0.512132
linear_warmup,obj_0105,0.292202,15.8004,0.014145,0.137573,0.369873,0.014199,0.015066,0.275988
linear_warmup,obj_0106,0.139423,12.8263,0.025742,0.143188,0.447021,0.019321,0.007393,0.354784
linear_warmup,obj_0107,0.190773,14.7044,0.001427,0.107239,0.132568,0.023975,0.007687,0.404813
linear_warmup,obj_0108,0.309061,18.7759,0.001080,0.092651,0.112976,0.052290,0.050098,0.552431
linear_warmup,obj_0109,0.416434,15.2829,0.015030,0.166260,0.318359,0.006834,0.170872,0.197096
linear_warmup,obj_0110,0.748056,24.5646,0.001017,0.122498,0.095337,0.001130,0.001487,0.052878
linear_warmup,obj_0111,0.608860,22.7940,0.002466,0.134033,0.154419,0.004280,0.001502,0.114542
linear_warmup,obj_0112,0.050552,20.7257,0.005104,0.097046,0.192871,0.100967,0.011951,1.375340
linear_warmup,obj_0113,0.507627,17.3472,0.003437,0.131226,0.174194,0.004942,0.013240,0.195535
linear_warmup,obj_0114,0.361587,14.6084,0.008575,0.140625,0.239746,0.008281,0.021737,0.216553
linear_warmup,obj_0115,0.424146,17.1428,0.006355,0.158081,0.254639,0.004374,0.015313,0.178495
